Date des Kudos,Type de Kudos,ID parent
17 mai 2020 à 18:29:31,Activité,3466597263
17 mai 2020 à 18:29:43,Activité,3467904108
17 mai 2020 à 18:29:48,Activité,3467353006
24 mai 2020 à 12:11:28,Activité,3502912534
1 juin 2020 à 16:40:41,Activité,3547670819
4 juin 2020 à 11:11:31,Activité,3561713991
4 juin 2020 à 11:11:35,Activité,3556976113
4 juin 2020 à 11:11:46,Activité,3546881004
4 juin 2020 à 11:11:52,Activité,3547042359
7 juin 2020 à 15:34:26,Activité,3578358206
7 juin 2020 à 15:34:29,Activité,3576862955
7 juin 2020 à 15:34:35,Activité,3576403156
7 juin 2020 à 15:34:38,Activité,3575001770
7 juin 2020 à 15:34:40,Activité,3573667952
7 juin 2020 à 15:34:43,Activité,3572170296
12 juin 2020 à 08:12:38,Activité,3592114486
26 juin 2020 à 12:20:41,Activité,3673412241
26 juin 2020 à 12:20:59,Activité,3654730745
26 juin 2020 à 12:21:06,Activité,3647785336
26 juin 2020 à 12:21:15,Activité,3643089332
26 juin 2020 à 12:21:40,Activité,3640090130
28 juin 2020 à 20:32:24,Activité,3683002451
5 juil. 2020 à 11:42:27,Activité,3695092675
5 juil. 2020 à 11:43:58,Activité,3706257596
5 juil. 2020 à 19:38:21,Activité,3695092641
7 juil. 2020 à 18:00:46,Activité,3727127704
7 juil. 2020 à 18:55:35,Activité,3727656358
9 juil. 2020 à 16:43:54,Activité,3735989963
9 juil. 2020 à 16:44:31,Activité,3735651733
10 juil. 2020 à 05:06:51,Activité,3725204543
10 juil. 2020 à 07:53:52,Activité,3735991250
11 juil. 2020 à 13:24:08,Activité,3744970140
11 juil. 2020 à 13:24:12,Activité,3744327453
11 juil. 2020 à 17:33:54,Activité,3746938959
11 juil. 2020 à 17:34:00,Activité,3746692114
13 juil. 2020 à 09:19:58,Activité,3754566453
15 juil. 2020 à 19:52:45,Activité,3764585279
15 juil. 2020 à 19:53:04,Activité,3764585983
18 juil. 2020 à 07:11:52,Activité,3770146933
18 juil. 2020 à 07:11:59,Activité,3772099325
