ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque maximum,Mesure d'effort,Déplacement-transport,Équipement utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque maximum,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Mesure d'effort,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Mesure d'effort ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
146785338,29 mai 2014 à 07:10:35,Rueil-Malmaison - Vélo - Cyclemeter,Vélo,,3151,"21,07",,,false,BMC streetfire,activities/160630755.gpx.gz,74.0,9.0,3151.0,3063.0,21077.0,13.800000190734863,,179.25999450683594,121.26000213623047,21.0,97.5,11.699999809265137,0.27518099546432495,,,,,,,,149.61900329589844,510.98553466796875,,12.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
147499610,31 mai 2014 à 05:10:35,Rueil-Malmaison - Course - Cyclemeter,Course à pied,,1099,"3,71",,,false,,activities/161403368.gpx.gz,74.0,,1099.0,1080.0,3710.60009765625,5.199999809265137,,57.91999816894531,59.119998931884766,40.400001525878906,85.4000015258789,34.599998474121094,-0.03233980014920235,,,,,,,,,344.92291259765625,,10.0,,,,,,,,,,,,,,0.0,,,3793.60009765625,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
147953201,1 juin 2014 à 06:14:49,Rueil-Malmaison - Vélo - Cyclemeter,Vélo,,5303,"38,13",,,false,BMC streetfire,activities/161898955.gpx.gz,74.0,9.0,5303.0,5202.0,38136.0,13.199999809265137,,348.4200134277344,356.4200134277344,21.200000762939453,190.10000610351562,12.899999618530273,-0.020977599546313286,,,,,,,,152.68600463867188,885.6138916015625,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
147998102,1 juin 2014 à 07:47:36,Verrières-le-Buisson - Vélo - Cyclemeter,Vélo,,8349,"49,48",,,false,BMC streetfire,activities/161947141.gpx.gz,74.0,9.0,8349.0,7557.0,49484.80078125,15.199999809265137,,407.44000244140625,,59.5,174.3000030517578,17.799999237060547,0.08649119734764099,,,,,,,,130.39199829101562,1098.690185546875,,12.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
148020753,1 juin 2014 à 10:09:09,Buc - Vélo - Cyclemeter,Vélo,,2718,"15,46",,,false,BMC streetfire,activities/161971529.gpx.gz,74.0,9.0,2718.0,2542.0,15466.400390625,15.399999618530273,,170.13999938964844,200.74000549316406,41.79999923706055,185.6999969482422,21.899999618530273,-0.19784800708293915,,,,,,,,116.99600219726562,331.60528564453125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
148861559,3 juin 2014 à 06:10:12,Rueil-Malmaison - Course - Cyclemeter,Course à pied,,190,"0,30",,,false,,activities/162892203.gpx.gz,74.0,,190.0,162.0,301.20001220703125,2.299999952316284,,0.0,18.799999237060547,50.900001525878906,69.69999694824219,7.300000190734863,-6.241700172424316,,,,,,,,,21.803173065185547,,13.0,,,,,,,,,,,,,,0.0,,,239.8000030517578,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
148911962,3 juin 2014 à 10:22:50,Puteaux - Course - Cyclemeter,Course à pied,,694,"2,49",,,false,,activities/162946657.gpx.gz,74.0,,694.0,618.0,2491.10009765625,6.300000190734863,,91.94000244140625,,34.29999923706055,74.30000305175781,19.399999618530273,-0.6703870296478271,,,,,,,,,266.96612548828125,,17.0,,,,,,,,,,,,,,0.0,,,2936.199951171875,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
150424700,7 juin 2014 à 07:05:43,Lons-le-Saunier - Vélo - Cyclemeter,Vélo,,8250,"53,45",,,false,BMC streetfire,activities/164578587.gpx.gz,74.0,9.0,8250.0,7476.0,53449.80078125,13.5,,608.1199951171875,,252.6999969482422,564.0,18.5,-0.015528599731624126,,,,,,,,158.73199462890625,1323.148681640625,,22.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
150824106,8 juin 2014 à 06:47:11,Lons-le-Saunier - Vélo - Cyclemeter,Vélo,,7425,"51,03",,,false,BMC streetfire,activities/165009912.gpx.gz,74.0,9.0,7425.0,7285.0,51037.5,13.899999618530273,,616.7730102539062,,253.8000030517578,535.2999877929688,34.20000076293945,0.0005878030206076801,,,,,,,,153.6219940185547,1247.8369140625,,23.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
151326253,9 juin 2014 à 06:49:48,Lons-le-Saunier - Vélo - Cyclemeter,Vélo,,5280,"34,92",,,false,BMC streetfire,activities/165555372.gpx.gz,74.0,9.0,5280.0,5096.0,34924.30078125,12.399999618530273,,490.4200134277344,,253.8000030517578,535.2999877929688,19.899999618530273,0.028919700533151627,,,,,,,,153.4929962158203,872.1533813476562,,23.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
156536400,22 juin 2014 à 06:27:00,Rueil-Malmaison - Vélo - Cyclemeter,Vélo,,3890,"27,83",,,false,BMC streetfire,activities/171153893.gpx.gz,74.0,9.0,3890.0,3803.0,27832.599609375,14.199999809265137,,209.13999938964844,208.74000549316406,26.0,112.4000015258789,37.20000076293945,0.0014371599536389112,,,,,,,,157.6320037841797,668.4140625,,17.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1214198.0,,,,,,,,,,,,,,,
159421621,29 juin 2014 à 10:24:16,Maisons-Laffitte - Course - Cyclemeter,Course à pied,,1098,"4,01",,,false,,activities/174302793.gpx.gz,74.0,,1098.0,1095.0,4019.0,5.599999904632568,,10.619999885559082,,27.200000762939453,44.400001525878906,21.100000381469727,-0.009952720254659653,,,,,,,,,366.78973388671875,,13.0,,,,,,,,,,,,,,0.0,,,4034.10009765625,,,,,,,,,,,,,,,,342059.0,,,,,,,,,,,,,,
